,Text,Start,End,Label
138,February 2020,7746,7759,DATE
139,J. D. Dillard,7817,7830,PERSON
140,Matt Owens,7842,7852,PERSON
141,Skywalker,7864,7873,PERSON
142,1971,7916,7920,DATE
143,George Lucas,7922,7934,PERSON
144,American Graffiti,8085,8102,ORG
145,1973,8104,8108,DATE
146,two,8122,8125,CARDINAL
147,20th Century,8147,8159,DATE
148,1974,8189,8193,DATE
149,first,8230,8235,ORDINAL
150,1977,8263,8267,DATE
151,Lucas,8288,8293,PERSON
152,Lucas,8390,8395,PERSON
153,two,8496,8499,CARDINAL
154,Lucasfilm,8577,8586,ORG
155,"May 25, 1977",8614,8626,DATE
156,first,8632,8637,ORDINAL
157,Episode IV,8648,8658,WORK_OF_ART
158,1979,8678,8682,DATE
159,The Art of Star Wars,8688,8708,WORK_OF_ART
160,"May 21, 1980",8761,8773,DATE
161,Episode VI,8858,8868,WORK_OF_ART
162,"May 25, 1983",8905,8917,DATE
163,Luke Skywalker's,8964,8980,PERSON
164,Imperial,9032,9040,ORG
165,Darth Vader,9047,9058,PERSON
166,the Rebel Alliance,9080,9098,ORG
167,the Galactic Empire,9139,9158,GPE
168,Gary Kurtz,9211,9221,PERSON
169,two,9309,9312,CARDINAL
170,1980,9323,9327,DATE
171,Lucas,9329,9334,PERSON
172,nine,9361,9365,CARDINAL
173,1981,9488,9492,DATE
174,1983,9497,9501,DATE
175,Lucas,9503,9508,PERSON
176,the late 1980s,9803,9817,DATE
177,early 1990s,9822,9833,DATE
178,Lucas,9910,9915,PERSON
179,1989,9978,9982,DATE
180,Lucas,9984,9989,PERSON
181,1992,10053,10057,DATE
182,1997,10174,10178,DATE
183,CGI,10229,10232,ORG
184,Episode,10265,10272,DATE
185,"May 19, 1999",10311,10323,DATE
186,Episode II,10329,10339,WORK_OF_ART
187,Attack of the Clones,10341,10361,PERSON
188,"May 16, 2002",10365,10377,DATE
189,Revenge of the Sith,10392,10411,PERSON
190,first,10417,10422,ORDINAL
191,"May 19, 2005",10468,10480,DATE
192,first,10486,10491,ORDINAL
193,two,10492,10495,CARDINAL
194,third,10541,10546,ORDINAL
195,32 years,10607,10615,DATE
196,Episode IV,10623,10633,WORK_OF_ART
197,Anakin Skywalker,10667,10683,PERSON
198,Luke,10685,10689,PERSON
199,Darth Vader,10771,10782,PERSON
200,the Galactic Republic,10813,10834,GPE
201,Empire,10851,10857,GPE
202,Darth Sidious,10865,10878,PERSON
203,Lucas,10916,10921,PERSON
204,first,10955,10960,ORDINAL
205,six,10961,10964,CARDINAL
206,Darth Vader,11016,11027,PERSON
207,Lucas,11130,11135,PERSON
208,three,11145,11150,CARDINAL
209,nine,11164,11168,CARDINAL
210,Time,11198,11202,ORG
211,1978,11206,11210,DATE
212,1981,11255,11259,DATE
213,Luke,11376,11380,PERSON
214,Obi-Wan,11410,11417,ORG
215,Luke,11443,11447,PERSON
216,Leia,11483,11487,PERSON
217,Han,11490,11493,PERSON
218,Leia,11495,11499,PERSON
219,Lucas,11572,11577,PERSON
220,Star Wars,11592,11601,WORK_OF_ART
221,six,11620,11623,CARDINAL
222,Lucas,11678,11683,PERSON
223,January 2012,11763,11775,DATE
224,October of that year,11823,11843,DATE
225,the Walt Disney Company,11845,11868,ORG
226,Lucasfilm,11883,11892,ORG
227,Episode VII,11912,11923,ORG
228,2015,11945,11949,DATE
229,Lucasfilm,11970,11979,ORG
230,Kathleen Kennedy,11981,11997,PERSON
231,Star Wars,12071,12080,WORK_OF_ART
232,Lucas,12096,12101,PERSON
233,Kennedy,12111,12118,PERSON
234,2012,12167,12171,DATE
235,2015,12185,12189,DATE
236,Lucas,12206,12211,PERSON
237,Star Wars Expanded Universe,12303,12330,LAW
238,"audience.""Episode VII:",12478,12500,WORK_OF_ART
239,"December 16, 2015",12535,12552,DATE
240,Episode VIII,12554,12566,WORK_OF_ART
241,"December 13, 2017",12585,12602,DATE
242,Episode IX,12608,12618,WORK_OF_ART
243,Skywalker,12632,12641,PERSON
244,"December 18, 2019",12645,12662,DATE
245,Episode VIII,12750,12762,ORG
246,Episode IX,12853,12863,ORG
247,30 years,12983,12991,DATE
248,Episode VI,12998,13008,ORG
249,Force,13043,13048,ORG
250,Rey,13066,13069,PERSON
251,Luke Skywalker,13081,13095,PERSON
252,Finn,13124,13128,PERSON
253,X-Wing,13137,13143,ORG
254,Poe Dameron,13150,13161,PERSON
255,Rey,13163,13166,PERSON
256,Resistance,13177,13187,PERSON
257,Leia,13196,13200,PERSON
258,Han,13238,13241,PERSON
259,Leia,13246,13250,PERSON
260,Luke,13262,13266,PERSON
261,Kylo Ren.,13278,13287,PERSON
262,Lucasfilm,13314,13323,ORG
263,Kennedy,13328,13335,PERSON
264,Star Wars,13402,13411,WORK_OF_ART
265,A Star Wars Story,13530,13547,WORK_OF_ART
266,Rebels,13579,13585,ORG
267,the Death Star,13595,13609,ORG
268,1977,13634,13638,DATE
269,first,13649,13654,ORDINAL
270,One,13677,13680,CARDINAL
271,"December 16, 2016",13717,13734,DATE
272,second,13785,13791,ORDINAL
273,Han,13838,13841,NORP
274,Chewbacca,13852,13861,PERSON
275,Lando,13866,13871,PERSON
276,"May 25, 2018",13914,13926,DATE
277,2019,14088,14092,DATE
278,Skywalker,14107,14116,PERSON
279,two,14224,14227,CARDINAL
280,the mid-1980s,14256,14269,DATE
281,the 2000s,14319,14328,DATE
282,first,14334,14339,ORDINAL
283,two,14340,14343,CARDINAL
284,Disney,14386,14392,ORG
285,Lucasfilm,14410,14419,ORG
286,one,14436,14439,CARDINAL
287,Eight,14456,14461,CARDINAL
288,Disney+,14511,14518,PERSON
289,first,14524,14529,ORDINAL
290,"November 12, 2019",14561,14578,DATE
291,2020,14598,14602,DATE
292,Webby Award for Television & Film,14603,14636,ORG
293,Social,14653,14659,NORP
294,1976 to 2014,14752,14764,DATE
295,EU,14794,14796,ORG
296,Lucasfilm,14983,14992,ORG
297,EU,15073,15075,ORG
298,"April 25, 2014",15091,15105,DATE
299,EU,15145,15147,ORG
300,the Star Wars Legends,15295,15316,LAW
301,The Old Republic,15392,15408,GPE
302,Legends,15418,15425,WORK_OF_ART
303,six,15536,15539,CARDINAL
304,The Clone Wars (2008,15573,15593,WORK_OF_ART
305,Lucasfilm,15784,15793,ORG
306,Marvel,15913,15919,ORG
307,Del Rey,15944,15951,ORG
308,first,16059,16064,ORDINAL
309,December 1976,16080,16093,DATE
310,Star Wars,16110,16119,WORK_OF_ART
311,From the Adventures of Luke Skywalker,16142,16179,WORK_OF_ART
312,Lucas,16194,16199,PERSON
313,Alan Dean Foster,16224,16240,PERSON
314,Expanded Universe,16253,16270,WORK_OF_ART
315,Marvel Comics',16290,16304,ORG
316,Star Wars #7,16305,16317,WORK_OF_ART
