,Text,Start,End,Label
134,Vader,5869,5874,PERSON
135,Obi-Wan,5887,5894,ORG
136,Luke,5899,5903,PERSON
137,Tatooine,5907,5915,PERSON
138,the Galactic Republic,5922,5943,GPE
139,Galactic Empire,5966,5981,LOC
140,Vader,5986,5991,PERSON
141,Darth Vader,6112,6123,PERSON
142,Lucas,6217,6222,PERSON
143,Anakin,6284,6290,PERSON
144,one,6374,6377,CARDINAL
145,Anakin,6407,6413,PERSON
146,first,6531,6536,ORDINAL
147,1999,6577,6581,DATE
148,Lucas,6584,6589,PERSON
149,Anakin,6595,6601,PERSON
150,nine years old,6602,6616,DATE
151,Anakin,6709,6715,PERSON
152,one,6722,6725,CARDINAL
153,Vader,6759,6764,PERSON
154,Anakin,6920,6926,PERSON
155,Force,7051,7056,ORG
156,Lucas,7058,7063,PERSON
157,third,7119,7124,ORDINAL
158,Revenge of the Sith,7134,7153,PERSON
159,2005,7155,7159,DATE
160,Anakin is the Chosen One,7168,7192,WORK_OF_ART
161,Anakin,7204,7210,PERSON
162,Darth Vader,7222,7233,PERSON
163,Kaminski,7271,7279,PERSON
164,Anakin,7311,7317,PERSON
165,Lucas,7351,7356,PERSON
166,first,7392,7397,ORDINAL
167,Revenge of the Sith,7431,7450,WORK_OF_ART
168,Palpatine,7459,7468,PERSON
169,Dooku,7505,7510,PERSON
170,Anakin,7522,7528,PERSON
171,first,7550,7555,ORDINAL
172,2003,7648,7652,DATE
173,Lucas re-wrote,7654,7668,PERSON
174,Anakin,7669,7675,PERSON
175,Anakin,7701,7707,PERSON
176,Padmé Amidala,7779,7792,PERSON
177,2004.During,8100,8111,CARDINAL
178,Ahsoka Tano,8173,8184,PERSON
179,Anakin,8217,8223,PERSON
180,Attack of the Clones,8285,8305,WORK_OF_ART
181,Jedi Knight,8334,8345,PERSON
182,Revenge of the Sith,8349,8368,WORK_OF_ART
183,Rebels,8406,8412,ORG
184,Dave Filoni,8424,8435,PERSON
185,Anakin,8453,8459,PERSON
186,Obi-Wan,8647,8654,ORG
187,Ahsoka,8698,8704,PERSON
188,Anakin,8709,8715,PERSON
189,Filoni,8832,8838,PERSON
190,Ahsoka,8892,8898,PERSON
191,Vader,8903,8908,PERSON
192,one,8997,9000,CARDINAL
193,Vader,9010,9015,PERSON
194,Ahsoka,9022,9028,PERSON
195,Rebels,9138,9144,ORG
196,Ahsoka,9155,9161,PRODUCT
197,Vader,9170,9175,PERSON
198,Sith,9199,9203,PERSON
199,Filoni,9238,9244,PERSON
200,Ahsoka,9246,9252,PERSON
201,Vader,9285,9290,PERSON
202,Ahsoka,9372,9378,PERSON
203,Darth Vader's,9467,9480,PERSON
204,Vader,9540,9545,PERSON
205,first,9584,9589,ORDINAL
206,Ralph McQuarrie,9617,9632,PERSON
207,Star Wars,9670,9679,WORK_OF_ART
208,George Lucas,9685,9697,PERSON
209,1975,9701,9705,DATE
210,McQuarrie,9707,9716,PERSON
211,Lucas,9729,9734,PERSON
212,Darth Vader,9826,9837,PERSON
213,George,9839,9845,PERSON
214,McQuarrie,9970,9979,PERSON
215,Vader,10017,10022,PERSON
216,Vader,10122,10127,PERSON
217,Lucas,10165,10170,PERSON
218,McQuarrie,10183,10192,PERSON
219,one,10266,10269,CARDINAL
220,McQuarrie,10322,10331,PERSON
221,1975,10334,10338,DATE
222,Darth Vader,10362,10373,PERSON
223,Deak Starkiller,10408,10423,PERSON
224,Luke Skywalker,10451,10465,PERSON
225,Vader,10475,10480,PERSON
226,Vader,10601,10606,PERSON
227,McQuarrie,10635,10644,ORG
228,Vader,10670,10675,PERSON
229,McQuarrie,10762,10771,ORG
230,John Mollo,10804,10814,PERSON
231,German,10934,10940,NORP
232,Brian Muir,11000,11010,PERSON
233,Vader,11098,11103,PERSON
234,Ben Burtt,11126,11135,PERSON
235,the U.S. Patent and Trademark Office,11242,11278,ORG
236,"regulator.""Commentators",11449,11472,GPE
237,Akira Kurosawa's,11512,11528,PERSON
238,The Hidden Fortress,11543,11562,FAC
239,1958,11564,11568,DATE
240,George Lucas,11573,11585,PERSON
241,Vader,11591,11596,PERSON
242,Japanese,11674,11682,NORP
243,Star Wars,11697,11706,WORK_OF_ART
244,Darth Vader,11730,11741,PERSON
245,David Prowse,11771,11783,PERSON
246,Bob Anderson,11826,11838,PERSON
247,6 ft 6,11894,11900,QUANTITY
248,1.98 m,11905,11911,QUANTITY
249,George Lucas,11919,11931,PERSON
250,Prowse,11940,11946,PERSON
251,Darth Vader,11973,11984,PERSON
252,Vader,12119,12124,PERSON
253,Vader,12191,12196,PERSON
254,Prowse,12204,12210,PERSON
255,West Country,12224,12236,GPE
256,English,12237,12244,LANGUAGE
257,Darth Farmer,12299,12311,WORK_OF_ART
258,Lucas,12314,12319,PERSON
259,Orson Welles,12344,12356,PERSON
260,Vader,12366,12371,PERSON
261,Welles,12397,12403,PERSON
262,James Earl Jones,12464,12480,PERSON
263,Jones,12490,12495,PERSON
264,Return of the Jedi,12644,12662,LAW
265,1983,12664,12668,DATE
266,Jones,12676,12681,PERSON
267,Vader,12724,12729,PERSON
268,Revenge of the Sith,12742,12761,PERSON
269,Jones,12804,12809,PERSON
270,Lucas,12839,12844,PERSON
271,Hayden Christensen,12872,12890,PERSON
272,Gene Bryant,12895,12906,PERSON
273,Vader,12927,12932,PERSON
274,Revenge of the Sith,12936,12955,WORK_OF_ART
275,Revenge of the Sith,12982,13001,WORK_OF_ART
276,Christensen,13003,13014,PERSON
277,Lucas,13021,13026,PERSON
278,Vader,13040,13045,PERSON
279,Vader,13160,13165,PERSON
280,Prowse,13180,13186,PERSON
281,Brock Peters,13188,13200,PERSON
282,Darth Vader,13223,13234,PERSON
283,NPR,13242,13245,ORG
284,Spencer Wilding,13269,13284,PERSON
285,Daniel Naprous,13289,13303,PERSON
286,Vader,13314,13319,PERSON
287,One,13329,13332,CARDINAL
288,2016,13334,13338,DATE
289,Jones,13346,13351,PERSON
290,Vader,13396,13401,PERSON
291,Rebel Assault II,13479,13495,PRODUCT
292,The Hidden Empire,13497,13514,GPE
293,Dark Forces,13519,13530,ORG
294,C. Andrew Nelson,13554,13570,PERSON
295,Vader,13605,13610,PERSON
296,Scott Lawrence,13630,13644,PERSON
297,Matt Sloan,13646,13656,PERSON
298,Chad Vader,13693,13703,PERSON
299,Darth Vader,13727,13738,PERSON
300,The Force Unleashed,13742,13761,WORK_OF_ART
301,Nelson,13806,13812,PERSON
302,Vader,13835,13840,PERSON
303,Special Edition of The Empire Strikes Back,13878,13920,WORK_OF_ART
304,Vader,13931,13936,PERSON
305,Anakin Skywalker,14068,14084,PERSON
306,Sebastian Shaw,14158,14172,PERSON
307,Shaw,14205,14209,PERSON
308,Ian McDiarmid,14265,14278,PERSON
309,McDiarmid,14316,14325,PERSON
